importer_iso3,exporter_iso3,good,hs_code,value_usd,weight_metric_tons,exporter_is_efta
AUT,CHN,Electronics,85,"4,651,384,372","165,536",False
AUT,CHN,Garments,62,"743,136,390","12,671",False
AUT,BGD,Garments,61,"700,713,014","32,171",False
AUT,CHN,Garments,61,"595,421,389","15,728",False
AUT,BGD,Garments,62,"463,084,130","15,861",False
AUT,CHN,Footwear,64,"458,044,174","13,185",False
AUT,VNM,Garments,62,"245,450,626","3,086",False
AUT,MYS,Electronics,85,"221,115,214","2,668",False
AUT,CHN,Toys,9503,"208,714,716","11,170",False
AUT,VNM,Garments,61,"149,591,515","2,286",False
AUT,CIV,Cocoa,180100,"99,353,875","12,566",False
AUT,MMR,Garments,62,"96,632,675","2,777",False
AUT,CHN,Toys,9504,"77,988,733","2,147",False
AUT,IND,Garments,62,"67,479,239","1,234",False
AUT,MMR,Garments,61,"49,821,114","2,599",False
AUT,IND,Garments,61,"44,018,596","1,742",False
AUT,CHN,Christmas Decorations,950510,"19,075,276","1,349",False
AUT,NGA,Cocoa,180100,"18,430,288","3,587",False
AUT,CHN,Artificial Flowers,6702,"16,000,373","1,146",False
AUT,CHN,Nails,7317,"13,787,571","4,816",False
AUT,IDN,Nickel,7502,"12,805,102",757,False
AUT,THA,Garments,61,"12,189,778",194,False
AUT,THA,Garments,62,"11,817,872",115,False
AUT,CHN,Thread/Yarn,5402,"10,973,718","3,118",False
AUT,CHN,Toys,950590,"10,190,985",672,False
AUT,CHN,Caustic Soda,281512,"9,734,739","39,480",False
AUT,CHN,Aluminum,7604,"9,159,536","1,477",False
AUT,CHN,Fireworks,360410,"8,454,633","2,077",False
AUT,MUS,Garments,61,"7,847,664",104,False
AUT,IND,Carpets,5702,"6,461,089",761,False
AUT,CHN,Gloves,420329,"6,162,236",96,False
AUT,IND,Thread/Yarn,5205,"4,157,537",670,False
AUT,CHN,Aluminum,7606,"3,781,026",634,False
AUT,MUS,Garments,62,"3,498,721",55,False
AUT,CHN,Tomato Products,210320,"3,374,888","2,138",False
AUT,IND,Rice,1006,"3,217,451","2,018",False
AUT,IND,Carpets,5703,"3,199,739",448,False
AUT,MYS,Rubber Gloves,401519,"3,013,841",324,False
AUT,CHN,Hair Products,670420,"2,879,777",35,False
AUT,MYS,Garments,61,"2,758,366",72,False
AUT,IND,Carpets,5701,"2,174,577",66,False
AUT,IND,Bricks,690220,"1,980,867",324,False
AUT,IND,Carpets,5705,"1,708,921",225,False
AUT,CHN,Bricks,690210,"1,672,297","1,358",False
AUT,CHN,Thread/Yarn,5511,"1,463,969",140,False
AUT,CHN,Tomato Products,210390,"1,316,913",373,False
AUT,CHN,Thread/Yarn,5401,"1,237,527",69,False
AUT,MYS,Garments,62,"1,008,851",14,False
AUT,CHN,Aluminum,7603,"845,393",127,False
AUT,CHN,Nails,761610,"800,179",107,False
AUT,IND,Thread/Yarn,5402,"783,153",481,False
AUT,NPL,Carpets,5701,"737,397",9,False
AUT,PAK,Carpets,5701,"659,513",15,False
AUT,IND,Tea,210690,"633,308",122,False
AUT,CHN,Gloves,611691,"532,160",5,False
AUT,CHN,Thread/Yarn,5207,"472,437",34,False
AUT,BLR,Furniture,94,"401,372",178,False
AUT,CHN,Tomato Products,200290,"388,371",357,False
AUT,CHN,Coal,2701,"387,435",882,False
AUT,CHN,Thread/Yarn,5205,"367,493",31,False
AUT,CHN,Bricks,690290,"320,311",81,False
AUT,CHN,Thread/Yarn,5508,"303,782",29,False
AUT,CHN,Bricks,690220,"244,703",122,False
AUT,CHN,Christmas Decorations,853922,"232,978",9,False
AUT,MMR,Rice,1006,"222,482",201,False
AUT,BRA,Garments,61,"213,712",4,False
AUT,CHN,Polysilicon,280461,"126,367",2,False
AUT,PER,Gold,7108,"118,089",20,False
AUT,CHN,Hair Products,670300,"96,136",0,False
AUT,PAK,Carpets,5702,"89,441",9,False
AUT,BRA,Garments,62,"88,903",1,False
AUT,ARG,Garments,62,"87,523",2,False
AUT,IND,Sandstone,251620,"84,810",253,False
AUT,CHN,Tomato Products,120991,"82,786",2,False
AUT,IND,Thread/Yarn,5207,"68,111",5,False
AUT,CHN,Aluminum,7605,"65,317",8,False
AUT,IND,Thread/Yarn,5509,"56,371",6,False
AUT,CHN,Metallurgical Grade Silicon,280469,"53,537",18,False
AUT,CHN,Thread/Yarn,5406,"50,733",3,False
AUT,IND,Thread/Yarn,5511,"50,247",4,False
AUT,CHN,Squid,160554,"48,142",7,False
AUT,CHN,Nails,741510,"41,910",5,False
AUT,CHN,Thread/Yarn,5204,"41,422",3,False
AUT,IND,Bricks,690290,"39,611",25,False
AUT,CHN,Bricks,6904,"38,139",224,False
AUT,IND,Thread/Yarn,5401,"34,408",1,False
AUT,NPL,Carpets,5705,"31,918",0,False
AUT,CHN,Aluminum,7601,"29,317",2,False
AUT,ARG,Garments,61,"28,692",1,False
AUT,CHN,Thread/Yarn,5510,"22,082",1,False
AUT,IND,Embellished Textiles,540792,"18,054",1,False
AUT,CHN,Bricks,681011,"17,218",18,False
AUT,CHN,Thread/Yarn,5509,"16,230",1,False
AUT,PAK,Carpets,5705,"13,875",1,False
AUT,IND,Rice,100890,"12,131",3,False
AUT,IND,Bricks,6901,"11,877",2,False
AUT,CHN,Thread/Yarn,5403,"9,658",1,False
AUT,CHN,Bricks,6901,"9,451",2,False
AUT,NPL,Carpets,5702,"6,534",0,False
AUT,CHN,Polyvinyl Chloride,390410,"6,104",1,False
AUT,IND,Carpets,5704,"6,048",3,False
AUT,PAK,Carpets,5703,"3,891",0,False
AUT,IND,Thread/Yarn,5406,"3,637",0,False
AUT,NPL,Carpets,5704,"3,179",0,False
AUT,CHN,Cotton,5201,"2,757",0,False
AUT,CHN,Polyvinyl Chloride,390421,"1,656",0,False
AUT,CHN,Polyvinyl Chloride,390422,"1,523",0,False
AUT,NPL,Carpets,5703,829,0,False
AUT,IND,Embellished Textiles,580900,724,0,False
AUT,IND,Thread/Yarn,5204,551,0,False
AUT,CHN,Thread/Yarn,5206,412,0,False
AUT,IND,Thread/Yarn,5508,211,0,False
AUT,IND,Bricks,681011,124,0,False
AUT,IND,Tea,210120,26,0,False
AUT,RUS,Bricks,6904,16,0,False
AUT,IND,Thread/Yarn,5403,15,0,False
AUT,PAK,Cotton,5201,9,0,False
AUT,MWI,Tobacco,2401,2,0,False
BEL,CHN,Electronics,85,"3,437,424,942","300,428",False
BEL,CHN,Footwear,64,"771,621,092","29,812",False
BEL,AGO,Diamonds,7102,"553,643,242",1,False
BEL,CIV,Cocoa,180100,"470,659,916","161,307",False
BEL,CHN,Garments,61,"401,360,787","17,541",False
BEL,MYS,Electronics,85,"347,077,864","5,464",False
BEL,CHN,Toys,9503,"333,019,518","19,655",False
BEL,CHN,Garments,62,"318,856,604","13,617",False
BEL,BGD,Garments,61,"267,971,231","22,005",False
BEL,NGA,Cocoa,180100,"154,411,161","21,690",False
BEL,MMR,Rice,1006,"134,020,347","286,151",False
BEL,MWI,Tobacco,2401,"120,969,175","20,272",False
BEL,BGD,Garments,62,"119,978,770","6,213",False
BEL,IND,Garments,61,"91,475,977","2,685",False
BEL,IND,Garments,62,"55,769,801","1,454",False
BEL,MMR,Garments,62,"51,860,125","1,541",False
BEL,CHN,Thread/Yarn,5402,"48,204,340","29,734",False
BEL,THA,Garments,61,"47,650,946","1,536",False
