importer_iso3,exporter_iso3,good,hs_code,value_usd,weight_metric_tons
EU,CHN,Electronics,85,"194,951,019,393","10,477,591"
EU,CHN,Garments,61,"18,991,840,411","867,992"
EU,CHN,Garments,62,"18,317,628,213","650,342"
EU,BGD,Garments,61,"17,464,913,966","1,042,806"
EU,CHN,Footwear,64,"12,933,143,256","752,538"
EU,MYS,Electronics,85,"12,451,661,410","139,956"
EU,BGD,Garments,62,"12,324,007,747","585,859"
EU,CHN,Toys,9503,"7,902,180,314","736,736"
EU,BFA,Gold,7108,"6,272,636,344",91
EU,CHN,Toys,9504,"4,501,714,169","157,988"
EU,VNM,Garments,62,"4,298,576,525","103,686"
EU,IND,Garments,62,"3,230,049,711","76,716"
EU,VNM,Garments,61,"3,218,554,814","99,697"
EU,IND,Garments,61,"2,986,957,819","116,009"
EU,CIV,Cocoa,180100,"2,970,388,346","676,882"
EU,PER,Gold,7108,"2,685,839,785","4,540"
EU,MMR,Garments,62,"1,881,879,179","92,859"
EU,NGA,Cocoa,180100,"1,203,955,886","208,498"
EU,MMR,Garments,61,"1,028,342,332","65,051"
EU,CHN,Christmas Decorations,950510,"981,349,419","124,424"
EU,CHN,Artificial Flowers,6702,"909,687,585","100,200"
EU,CHN,Thread/Yarn,5402,"678,376,094","323,466"
EU,CHN,Aluminum,7606,"572,933,769","168,112"
EU,AGO,Diamonds,7102,"558,454,983",2
EU,CHN,Toys,950590,"455,447,741","51,319"
EU,THA,Garments,61,"414,019,214","8,626"
EU,CHN,Fireworks,360410,"352,258,212","105,468"
EU,MMR,Rice,1006,"345,146,515","630,250"
EU,IND,Thread/Yarn,5205,"296,742,452","69,977"
EU,MYS,Rubber Gloves,401519,"289,379,471","40,927"
EU,IND,Rice,1006,"288,731,458","250,264"
EU,MWI,Tobacco,2401,"274,389,073","53,376"
EU,CHN,Metallurgical Grade Silicon,280469,"231,206,348","85,661"
EU,IND,Carpets,5702,"227,780,744","29,402"
EU,CHN,Aluminum,7604,"224,113,598","45,455"
EU,CHN,Tomato Products,200290,"222,334,405","176,350"
EU,CIV,Cocoa,180200,"219,204,860","73,240"
EU,IDN,Nickel,7501,"217,675,924","21,610"
EU,THA,Garments,62,"175,818,768","3,276"
EU,CHN,Nails,7317,"170,228,927","90,585"
EU,BLR,Furniture,94,"155,188,519","84,775"
